# basic.txt - 基础词汇（中英双语）
apple,苹果
clock,时钟
watch,手表
sunrise,日出
sunset,日落
moon,月亮
star,星星
planet,行星
earth,地球
sky,天空
heaven,天堂
ground,地面
land,土地
field,田地
meadow,草地
pasture,牧场
forest,森林
woods,树林
jungle,丛林
desert,沙漠
mountain,山
hill,山丘
valley,山谷
plain,平原
plateau,高原
basin,盆地
river,河流
lake,湖泊
pond,池塘
sea,海
ocean,海洋
beach,海滩
coast,海岸
shore,岸边
island,岛屿
peninsula,半岛
bay,海湾
gulf,海湾
harbor,港口
port,码头
bridge,桥
road,路
path,小路
trail,小径
street,街道
avenue,大道
boulevard,林荫大道
highway,高速公路
motorway,高速公路
railway,铁路
train,火车
station,车站
airport,机场
airplane,飞机
helicopter,直升机
car,汽车
truck,卡车
bus,公交车
taxi,出租车
bike,自行车
bicycle,自行车
motorcycle,摩托车
scooter,踏板车
boat,船
ship,轮船
ferry,渡轮
yacht,游艇
canoe,独木舟
kayak,皮划艇
raft,木筏
submarine,潜艇
tractor,拖拉机
plow,犁
harrow,耙
seeder,播种机
transplanter,移植机
cultivator,中耕机
sprayer,喷雾器
harvester,收割机
thresher,脱粒机
mower,割草机
baler,打捆机
loader,装载机
forklift,叉车
crane,起重机
excavator,挖掘机
bulldozer,推土机
dumper,自卸车
trailer,拖车
wagon,车
cart,手推车
wheelbarrow,独轮车
shovel,铲子
spade,铁锹
hoe,锄头
rake,耙子
pickaxe,镐
axe,斧头
saw,锯子
scissors,剪刀
knife,刀
fork,叉子
spoon,勺子
plate,盘子
bowl,碗
cup,杯子
glass,玻璃杯
bottle,瓶子
can,罐头
jar,罐子
box,盒子
bag,袋子
basket,篮子
bucket,桶
pail,水桶
tank,坦克
barrel,桶
drum,鼓
container,容器
package,包裹
packet,小包
parcel,包裹
suitcase,行李箱
backpack,背包
rucksack,背包
handbag,手袋
purse,钱包
wallet,钱包
belt,腰带
strap,带子
rope,绳子
string,线
thread,线
yarn,纱线
fabric,面料
cloth,布
cotton,棉
wool,羊毛
silk,丝绸
linen,亚麻
leather,皮革
rubber,橡胶
plastic,塑料
metal,金属
iron,铁
steel,钢
copper,铜
brass,黄铜
bronze,青铜
gold,金
silver,银
aluminum,铝
tin,锡
lead,铅
zinc,锌
nickel,镍
chrome,铬
glass,玻璃
ceramic,陶瓷
porcelain,瓷器
clay,黏土
brick,砖
stone,石头
rock,岩石
sand,沙子
gravel,沙砾
concrete,混凝土
cement,水泥
mortar,砂浆
plaster,灰泥
paint,油漆
varnish,清漆
lacquer,漆
oil,油
gas,气体
petrol,汽油
diesel,柴油
electricity,电力
power,能量
energy,能量
force,力
pressure,压力
weight,重量
mass,质量
volume,体积
area,面积
length,长度
width,宽度
height,高度
depth,深度
size,大小
shape,形状
color,颜色
red,红
blue,蓝
green,绿
yellow,黄
orange,橙
purple,紫
pink,粉
brown,棕
black,黑
white,白
gray,灰
bright,明亮
dark,黑暗
light,轻
heavy,重
big,大
small,小
large,大
tiny,微小
huge,巨大
giant,巨大
miniature,微型
normal,正常
regular,规则
irregular,不规则
square,正方形
rectangle,长方形
circle,圆
triangle,三角形
oval,椭圆
star,星
heart,心形
diamond,菱形
spade,黑桃
club,梅花
cross,十字
plus,加号
minus,减号
multiply,乘
divide,除
equal,等于
not equal,不等于
greater than,大于
less than,小于
more,更多
less,更少
most,最多
least,最少
first,第一
second,第二
third,第三
fourth,第四
fifth,第五
last,最后
final,最终
end,结束
beginning,开始
start,开始
middle,中间
center,中心
edge,边缘
corner,角落
top,顶部
bottom,底部
front,前面
back,后面
left,左边
right,右边
north,北
south,南
east,东
west,西
up,向上
down,向下
in,在...里面
out,在...外面
on,在...上面
off,离开
above,在...上方
below,在...下方
over,在...之上
under,在...之下
before,在...之前
after,在...之后
between,在...之间
among,在...之中
inside,在里面
outside,在外面
within,在...之内
beyond,在...之外
near,附近
far,远
close,靠近
open,打开
closed,关闭
locked,上锁
unlocked,解锁
full,满
empty,空
filled,填充
clean,干净
dirty,脏
neat,整洁
messy,凌乱
tidy,整齐
organized,有条理
disorganized,杂乱
ordered,有序
disordered,无序
new,新
old,旧
young,年轻
fresh,新鲜
stale,不新鲜
ripe,成熟
unripe,未成熟
raw,生的
cooked,熟的
hot,热
cold,冷
warm,温暖
cool,凉爽
dry,干燥
wet,湿润
moist,潮湿
damp,潮湿
humid,潮湿
arid,干旱
soggy,湿透
soaked,浸湿
drenched,湿透
dripping,滴漏
leaking,泄漏
spilling,洒出
pouring,倾倒
flowing,流动
streaming,溪流
gushing,涌出
spurting,喷出
sprinkling,喷洒
drizzling,毛毛雨
raining,下雨
snowing,下雪
hailing,下冰雹
thundering,打雷
lightning,闪电
stormy,有风暴
windy,有风
cloudy,多云
sunny,晴朗
clear,晴朗
foggy,有雾
misty,薄雾
hazy,朦胧
smoggy,有雾霾
smoky,多烟
dusty,多尘
grimy,污秽
filthy,肮脏
soiled,弄脏
stained,染色
marked,标记
torn,撕裂
broken,破碎
damaged,损坏
worn,磨损
used,用过
unused,未使用
pristine,原始
perfect,完美
flawless,无瑕
imperfect,不完美
flawed,有缺陷
faulty,有错误
defective,有缺陷
working,工作中
fixed,修理好
repaired,修复
mended,修补
patched,补丁
sewn,缝制
stitched,缝合
glued,胶合
taped,胶带
tied,捆绑
knotted,打结
loose,松动
tight,紧
slack,松弛
taut,拉紧
stretched,拉伸
compressed,压缩
expanded,扩展
contracted,收缩
swollen,肿胀
shrunken,缩小
inflated,充气
deflated,放气
loaded,加载
unloaded,卸载
packed,包装
unpacked,打开
wrapped,包裹
unwrapped,打开
covered,覆盖
uncovered,未覆盖
hidden,隐藏
visible,可见
seen,看到
unseen,看不到
noticed,注意到
unnoticed,未注意
observed,观察到
unobserved,未观察
detected,检测到
undetected,未检测
found,发现
lost,丢失
missed,错过
caught,抓住
thrown,投掷
dropped,掉落
picked,采摘
gathered,收集
collected,收集
accumulated,累积
scattered,分散
spread,散开
distributed,分发
divided,分割
split,分裂
separated,分开
joined,连接
connected,连接
linked,链接
attached,附加
detached,分离
removed,移除
added,添加
inserted,插入
extracted,提取
taken,拿走
given,给予
received,收到
sent,发送
delivered,交付
shipped,运输
transported,运输
carried,携带
brought,带来
taken away,带走
brought back,带回
returned,返回
sent back,送回
given back,归还
taken back,取回
kept,保留
stored,存储
saved,保存
preserved,保存
conserved,保存
protected,保护
guarded,守护
defended,防守
attacked,攻击
invaded,入侵
occupied,占领
liberated,解放
freed,释放
released,释放
captured,捕获
arrested,逮捕
imprisoned,监禁
jailed,监禁
locked up,锁起来
set free,释放
let go,放走
discharged,释放
fired,发射
hired,雇用
employed,雇用
unemployed,失业
retired,退休
resigned,辞职
quit,退出
left,离开
stayed,停留
remained,保持
continued,继续
stopped,停止
paused,暂停
started,开始
began,开始
ended,结束
finished,完成
completed,完成
accomplished,实现
achieved,达成
succeeded,成功
failed,失败
tried,尝试
attempted,企图
sought,寻找
searched,搜索
found,找到
discovered,发现
invented,发明
created,创造
made,制作
produced,生产
manufactured,制造
built,建造
constructed,建设
erected,竖立
raised,举起
lowered,降低
lifted,举起
dropped,掉落
pulled,拉
pushed,推
dragged,拖
carried,携带
held,握住
gripped,抓住
grabbed,抓住
seized,夺取
caught,抓住
thrown,扔
flung,猛地一扔
tossed,抛
thrown away,扔掉
thrown out,扔掉
discarded,丢弃
rejected,拒绝
accepted,接受
approved,批准
disapproved,不批准
agreed,同意
disagreed,不同意
consented,同意
objected,反对
complied,遵守
obeyed,服从
disobeyed,不服从
followed,跟随
led,领导
guided,引导
directed,指导
controlled,控制
governed,管理
ruled,统治
managed,管理
administered,管理
supervised,监督
oversaw,监督
monitored,监控
watched,观看
observed,观察
inspected,检查
examined,检查
checked,检查
verified,核实
confirmed,确认
denied,否认
admitted,承认
acknowledged,承认
recognized,认出
identified,识别
named,命名
called,叫
labeled,标记
tagged,标记
marked,标记
stamped,盖章
printed,打印
written,写
typed,打字
scrawled,乱写
scribbled,涂鸦
drawn,画
painted,绘画
sketched,素描
illustrated,插图
photographed,拍照
filmed,拍摄
recorded,记录
taped,录音
videoed,录像
audioed,录音
listened,听
heard,听到
saw,看见
looked,看
watched,观看
stared,凝视
glared,怒视
glanced,瞥
peeked,偷看
peered,凝视
gazed,凝视
observed,观察
inspected,检查
examined,检查
studied,学习
learned,学习
taught,教
educated,教育
trained,训练
practiced,练习
exercised,锻炼
worked,工作
labored,辛苦工作
toiled,辛苦劳动
sweated,出汗
rested,休息
relaxed,放松
slept,睡觉
dreamed,做梦
napped,午睡
dozed,打盹
yawned,打哈欠
stretched,拉伸
coughed,咳嗽
sneezed,打喷嚏
blinked,眨眼
winked,眨眼
nodded,点头
shook,摇头
shrugged,耸肩
smiled,微笑
laughed,大笑
cried,哭泣
wept,哭泣
sobbed,啜泣
sighed,叹气
groaned,呻吟
moaned,呜咽
whispered,耳语
shouted,喊叫
yelled,大叫
screamed,尖叫
called,叫
spoke,说话
said,说
talked,谈话
conversed,交谈
chatted,聊天
discussed,讨论
debated,辩论
argued,争论
fought,打斗
quarreled,争吵
disputed,争论
contested,竞争
competed,竞争
raced,赛跑
ran,跑
jogged,慢跑
walked,走
strolled,漫步
sauntered,闲逛
ambled,慢走
moseyed,闲逛
loitered,游荡
lingered,逗留
hovered,盘旋
floated,漂浮
drifted,漂流
sailed,航行
flew,飞
soared,翱翔
glided,滑翔
slipped,滑
slid,滑
skated,滑冰
skied,滑雪
surfed,冲浪
swam,游泳
dived,跳水
plunged,跳入
sank,下沉
rose,升起
ascended,上升
descended,下降
climbed,爬
scaled,攀登
mounted,登上
dismounted,下车
got on,上去
got off,下来
got in,进去
got out,出来
entered,进入
exited,退出
left,离开
arrived,到达
came,来
went,去
returned,返回
departed,离开
stayed,停留
remained,保持
lived,生活
died,死亡
was born,出生
grew up,成长
matured,成熟
aged,变老
developed,发展
evolved,进化
changed,改变
transformed,变形
converted,转换
altered,改变
modified,修改
adjusted,调整
adapted,适应
accommodated,容纳
fit,适合
suited,合适
matched,匹配
corresponded,对应
related,相关
connected,连接
linked,链接
associated,关联
related to,相关
connected with,连接
linked to,链接
associated with,关联
similar to,相似
different from,不同
the same as,相同
like,像
unlike,不像
as,作为
than,比
more than,多于
less than,少于
most,最多
least,最少
better,更好
worse,更差
best,最好
worst,最坏
good,好
bad,坏
great,伟大
terrible,可怕
wonderful,精彩
awful,糟糕
fantastic,极好
horrible,恐怖
beautiful,美丽
ugly,丑陋
pretty,漂亮
handsome,英俊
cute,可爱
adorable,可爱
lovely,可爱
nice,好
mean,刻薄
kind,善良
cruel,残酷
gentle,温和
rough,粗糙
soft,柔软
hard,硬
smooth,光滑
slippery,滑
sticky,粘
gooey,粘稠
watery,水汪汪
oily,油
greasy,油腻
slimy,黏滑
crunchy,脆
chewy,有嚼劲
firm,坚固
loose,松
tight,紧
slack,松弛
taut,紧绷
tense,紧张
relaxed,放松
calm,平静
nervous,紧张
anxious,焦虑
worried,担心
happy,高兴
sad,悲伤
joyful,快乐
sorrowful,悲伤
excited,兴奋
bored,无聊
tired,疲惫
awake,醒着
asleep,睡着
conscious,有意识
unconscious,无意识
aware,意识到
unaware,未意识到
knowing,知道
unknowing,不知道
wise,明智
foolish,愚蠢
smart,聪明
dumb,笨
intelligent,智慧
stupid,愚蠢
clever,聪明
idiotic,白痴
brilliant,杰出
dull,迟钝
sharp,敏锐
blunt,钝
quick,快
slow,慢
fast,快
rapid,迅速
swift,敏捷
speedy,快速
hurried,匆忙
rushed,急促
leisurely,悠闲
calmly,平静地
nervously,紧张地
anxiously,焦虑地
worriedly,担心地
happily,高兴地
sadly,悲伤地
joyfully,快乐地
sorrowfully,悲伤地
excitedly,兴奋地
boredly,无聊地
tiredly,疲惫地
consciously,有意识地
unconsciously,无意识地
wisely,明智地
foolishly,愚蠢地
smartly,聪明地
intelligently,智慧地
stupidly,愚蠢地
cleverly,聪明地
brilliantly,杰出地
sharply,尖锐地
quickly,快速地
slowly,慢
fastly,快
rapidly,迅速地
swiftly,敏捷地
speedily,快速地
hurriedly,匆忙地
rushingly,急促地
leisurely,悠闲地
