# professional.txt - 专业词汇（中英双语）
plant pathology,植物病理学
analog,模拟的
binary,二进制的
decimal,十进制的
hexadecimal,十六进制的
octal,八进制的
logical,逻辑的
boolean,布尔的
conditional,条件的
iterative,迭代的
recursive,递归的
functional,函数式的
imperative,命令式的
declarative,声明式的
object-oriented,面向对象的
procedural,过程式的
modular,模块化的
scalable,可扩展的
maintainable,可维护的
reusable,可重用的
adaptable,可适应的
flexible,灵活的
portable,可移植的
compatible,兼容的
interoperable,可互操作的
standardized,标准化的
normalized,规范化的
optimized,优化的
automated,自动化的
integrated,集成的
embedded,嵌入式的
real-time,实时的
high-performance,高性能的
low-power,低功耗的
energy-efficient,节能的
cost-effective,性价比高的
user-friendly,用户友好的
intuitive,直观的
ergonomic,人机工程学的
accessible,可访问的
inclusive,包容的
diverse,多样的
equitable,公平的
just,公正的
fair,公平的
transparent,透明的
accountable,可问责的
responsible,负责的
sustainable,可持续的
resilient,有韧性的
adaptive,适应性强的
agile,敏捷的
responsive,响应式的
dynamic,动态的
static,静态的
stable,稳定的
reliable,可靠的
dependable,可依赖的
trustworthy,可信赖的
authentic,真实的
genuine,真诚的
honest,诚实的
integrity,诚信
respect,尊重
dignity,尊严
equality,平等
justice,正义
fairness,公平
liberty,自由
freedom,自由
democracy,民主
human rights,人权
rule of law,法治
governance,治理
management,管理
administration,行政
leadership,领导力
followership,追随力
teamwork,团队合作
collaboration,协作
cooperation,合作
competition,竞争
coopetition,竞合
partnership,伙伴关系
alliance,联盟
coalition,联盟
network,网络
community,社区
society,社会
culture,文化
civilization,文明
history,历史
tradition,传统
heritage,遗产
legacy,遗产
future,未来
present,现在
past,过去
time,时间
space,空间
matter,物质
energy,能量
force,力
motion,运动
change,变化
growth,生长
development,发展
evolution,进化
progress,进步
innovation,创新
creation,创造
destruction,破坏
construction,建设
building,建筑
architecture,建筑
design,设计
art,艺术
craft,工艺
skill,技能
technique,技术
method,方法
practice,实践
theory,理论
philosophy,哲学
science,科学
technology,技术
engineering,工程
math,数学
physics,物理
chemistry,化学
biology,生物
geology,地质
geography,地理
astronomy,天文
meteorology,气象
oceanography,海洋学
limnology,湖沼学
hydrology,水文学
soil science,土壤学
mineralogy,矿物学
petrology,岩石学
geophysics,地球物理
geochemistry,地球化学
ecology,生态
environmental science,环境科学
atmospheric science,大气科学
climatology,气候学
meteorology,气象学
agrometeorology,农业气象
